Name,State,Control,Region,Enrollment
Sh'or Yoshuv Rabbinical College,NY,Private,Northeast,130
Curtis Institute of Music,PA,Private,Northeast,131
World Mission University,CA,Private,West,132
Holy Apostles College and Seminary,CT,Private,Northeast,133
Antioch College,OH,Private,Midwest,133
New Saint Andrews College,ID,Private,West,134
Compass College of Cinematic Arts,MI,Private,Midwest,134
Mirrer Yeshiva Cent Institute,NY,Private,Northeast,137
The Chicago School of Professional Psychology at Los Angeles,CA,Private,West,138
Faith International University,WA,Private,West,142
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,Private,West,143
Stevens-Henager College,UT,Private,West,143
University of the West,CA,Private,West,144
Saint Joseph Seminary College,LA,Private,Southeast,146
Nebraska Christian College of Hope International University,NE,Private,Midwest,146
Machzikei Hadath Rabbinical College,NY,Private,Northeast,146
Trinity International University-Florida,FL,Private,Southeast,150
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,Private,Northeast,151
Yeshiva Karlin Stolin,NY,Private,Northeast,151
Grace School of Theology,TX,Private,West,151
Ottawa University-Online,KS,Private,Midwest,155
Appalachian Bible College,WV,Private,Southeast,157
Jewish Theological Seminary of America,NY,Private,Northeast,158
Crossroads Bible College,IN,Private,Midwest,158
Kehilath Yakov Rabbinical Seminary,NY,Private,Northeast,159
Arlington Baptist University,TX,Private,West,159
Ottawa University-Milwaukee,WI,Private,Midwest,166
Providence Christian College,CA,Private,West,167
Art Academy of Cincinnati,OH,Private,Midwest,174
Marlboro College,VT,Private,Northeast,176
Goddard College,VT,Private,Northeast,177
Baptist University of the Americas,TX,Private,West,177
Johnson University Florida,FL,Private,Southeast,180
Kuyper College,MI,Private,Midwest,180
Davis College,NY,Private,Northeast,181
Trinity Bible College and Graduate School,ND,Private,Midwest,183
Yeshiva of Nitra Rabbinical College,NY,Private,Northeast,186
Trinity College of Florida,FL,Private,Southeast,188
Pennsylvania Academy of the Fine Arts,PA,Private,Northeast,188
Crowley's Ridge College,AR,Private,Southeast,192
